token,lemma,pos
the,the,DET
world,world,NOUN
was,be,AUX
his,he,PRON
",",",",PUNCT
went,go,VERB
to,to,ADP
Bar,bar,PROPN
Harbor,Harbor,PROPN
and,and,CCONJ
met,meet,VERB
Beatrice,Beatrice,PROPN
O'Hara,O'Hara,PROPN
.,.,PUNCT
In,in,ADP
consequence,consequence,NOUN
",",",",PUNCT
Stephen,Stephen,PROPN
Blaine,Blaine,PROPN
handed,hand,VERB
down,down,ADV
to,to,ADP
posterity,posterity,NOUN
his,he,PRON
height,height,NOUN
of,of,ADP
just,just,ADV
under,under,ADP
six,six,NUM
feet,feet,NOUN
and,and,CCONJ
his,he,PRON
tendency,tendency,NOUN
to,to,PART
waver,waver,VERB
at,at,ADP
crucial,crucial,ADJ
moments,moments,NOUN
",",",",PUNCT
these,these,DET
two,two,NUM
abstractions,abstractions,NOUN
appearing,appear,VERB
in,in,ADP
his,he,PRON
son,son,NOUN
Amory,Amory,PROPN
.,.,PUNCT
For,for,ADP
many,many,ADJ
years,year,NOUN
he,he,PRON
hovered,hover,VERB
in,in,ADP
the,the,DET
background,background,NOUN
of,of,ADP
his,he,PRON
family,family,NOUN
's,'s,PART
life,life,NOUN
",",",",PUNCT
an,a,DET
unassertive,unassertive,ADJ
figure,figure,NOUN
with,with,ADP
a,a,DET
face,face,NOUN
half,half,NOUN
-,-,PUNCT
obliterated,obliterate,VERB
by,by,ADP
lifeless,lifeless,NOUN
",",",",PUNCT
silky,silky,NUM
hair,hair,NOUN
",",",",PUNCT
continually,continually,ADV
occupied,occupy,VERB
in,in,ADP
"""","""",PUNCT
taking,take,VERB
care,care,NOUN
"""","""",PUNCT
of,of,ADP
his,he,PRON
wife,wife,NOUN
",",",",PUNCT
continually,continually,ADV
harassed,harass,VERB
by,by,ADP
the,the,DET
idea,idea,NOUN
that,that,SCONJ
he,he,PRON
did,do,AUX
n't,not,PART
and,and,CCONJ
could,could,AUX
n't,not,PART
understand,understand,VERB
her,she,PRON
.,.,PUNCT
But,but,CCONJ
Beatrice,Beatrice,PROPN
Blaine,Blaine,PROPN
!,!,PUNCT
There,there,PRON
was,be,AUX
a,a,DET
woman,woman,NOUN
!,!,PUNCT
Early,Early,ADJ
pictures,picture,NOUN
taken,take,VERB
on,on,ADP
her,she,PRON
father,father,NOUN
's,'s,PART
estate,estate,NOUN
at,at,ADP
Lake,Lake,PROPN
Geneva,Geneva,PROPN
",",",",PUNCT
Wisconsin,Wisconsin,PROPN
",",",",PUNCT
or,or,CCONJ
in,in,ADP
Rome,Rome,PROPN
at,at,ADP
the,the,DET
Sacred,Sacred,PROPN
Heart,heart,PROPN
Convent,Convent,PROPN
--,--,PUNCT
an,a,DET
educational,educational,ADJ
extravagance,extravagance,NOUN
that,that,PRON
in,in,ADP
her,she,PRON
youth,youth,NOUN
was,be,AUX
only,only,ADV
for,for,ADP
the,the,DET
daughters,daughter,NOUN
of,of,ADP
the,the,DET
exceptionally,exceptionally,ADV
wealthy,wealthy,ADJ
--,--,PUNCT
showed,show,VERB
the,the,DET
exquisite,exquisite,NOUN
delicacy,delicacy,NOUN
of,of,ADP
her,she,PRON
features,feature,NOUN
",",",",PUNCT
the,the,DET
consummate,consummate,ADJ
art,art,NOUN
and,and,CCONJ
simplicity,simplicity,NOUN
of,of,ADP
her,she,PRON
clothes,clothes,NOUN
.,.,PUNCT
A,a,DET
brillia,brillia,NOUN
nt,not,PART
education,education,NOUN
she,she,PRON
had,have,VERB
--,--,PUNCT
her,she,PRON
youth,youth,NOUN
passed,pass,VERB
in,in,ADP
renaissance,renaissance,PROPN
glory,glory,INTJ
",",",",PUNCT
she,she,PRON
was,be,AUX
versed,verse,VERB
in,in,ADP
the,the,DET
latest,latest,ADJ
gossip,gossip,NOUN
of,of,ADP
the,the,DET
Older,older,PROPN
Roman,Roman,PROPN
Families,families,PROPN
;,;,PUNCT
known,know,VERB
by,by,ADP
name,name,NOUN
as,as,ADP
a,a,DET
fabulously,fabulously,ADV
wealthy,wealthy,ADJ
American,american,ADJ
girl,girl,NOUN
to,to,ADP
Cardinal,Cardinal,PROPN
Vitori,Vitori,PROPN
and,and,CCONJ
Queen,Queen,PROPN
Margherita,Margherita,PROPN
and,and,CCONJ
more,more,ADV
subtle,subtle,ADJ
celebrities,celebrity,NOUN
that,that,ADV
one,one,NUM
must,must,AUX
have,have,AUX
had,have,VERB
some,some,DET
culture,culture,NOUN
even,even,ADV
to,to,PART
have,have,AUX
heard,hear,VERB
of,of,ADP
.,.,PUNCT
She,she,PRON
learned,learn,VERB
in,in,ADP
England,England,PROPN
to,to,PART
prefer,prefer,VERB
whiskey,whiskey,NOUN
and,and,CCONJ
soda,soda,NOUN
to,to,ADP
wine,wine,NOUN
",",",",PUNCT
and,and,CCONJ
her,she,PRON
small,small,ADJ
talk,talk,NOUN
was,be,AUX
broadened,broaden,VERB
in,in,ADP
two,two,NUM
senses,sense,NOUN
during,during,ADP
a,a,DET
winter,winter,NOUN
in,in,ADP
Vienna,Vienna,PROPN
.,.,PUNCT
All,all,DET
in,in,ADP
all,all,DET
Beatrice,Beatrice,PROPN
O'Hara,O'Hara,PROPN
absorbed,absorb,VERB
the,the,DET
sort,sort,ADV
of,of,ADP
education,education,NOUN
that,that,PRON
will,will,AUX
be,be,AUX
quite,quite,ADV
impossible,impossible,ADJ
ever,ever,ADV
again,again,ADV
;,;,PUNCT
a,a,DET
tutelage,tutelage,NOUN
measured,measure,VERB
by,by,ADP
the,the,DET
number,number,NOUN
of,of,ADP
things,thing,NOUN
and,and,CCONJ
people,people,NOUN
one,one,PRON
could,could,AUX
be,be,AUX
contemptuous,contemptuous,NOUN
of,of,ADP
and,and,CCONJ
charming,charme,VERB
about,about,ADV
;,;,PUNCT
a,a,DET
culture,culture,NOUN
rich,rich,ADJ
in,in,ADP
all,all,DET
arts,art,NOUN
and,and,CCONJ
traditions,tradition,NOUN
",",",",PUNCT
barren,bar,NUM
of,of,ADP
all,all,DET
ideas,idea,NOUN
",",",",PUNCT
in,in,ADP
the,the,DET
last,last,ADJ
of,of,ADP
those,those,DET
days,day,NOUN
when,when,ADV
the,the,DET
great,great,ADJ
gardener,gardener,NOUN
clipped,clip,VERB
the,the,DET
inferior,inferior,ADJ
roses,ros,NOUN
to,to,PART
produce,produce,VERB
one,one,NUM
perfect,perfect,ADJ
bud,bud,NOUN
.,.,PUNCT
In,in,ADP
her,she,PRON
less,less,ADJ
important,important,ADJ
moments,moments,NOUN
she,she,PRON
returned,return,VERB
to,to,ADP
America,America,PROPN
",",",",PUNCT
met,meet,VERB
Stephen,Stephen,PROPN
Blaine,Blaine,PROPN
and,and,CCONJ
married,marry,VERB
him,he,PRON
--,--,PUNCT
this,this,PRON
almost,almost,ADV
entirely,entirely,ADV
because,because,SCONJ
she,she,PRON
was,be,AUX
a,a,DET
little,little,ADJ
bit,bit,NOUN
weary,weary,NOUN
",",",",PUNCT
a,a,DET
little,little,ADJ
bit,bit,NOUN
sad,sad,ADJ
.,.,PUNCT
Her,she,PRON
only,only,ADV
child,child,NOUN
was,be,AUX
carried,carry,VERB
through,through,ADV
a,a,DET
tiresome,tiresome,ADJ
season,season,NOUN
and,and,CCONJ
brought,brotch,VERB
into,into,ADP
the,the,DET
world,world,NOUN
on,on,ADP
a,a,DET
spring,spring,NOUN
day,day,NOUN
in,in,ADV
ninety,ninety,INTJ
-,-,PUNCT
six,six,NUM
.,.,PUNCT
When,when,ADV
Amory,Amory,PROPN
was,be,AUX
five,five,NUM
he,he,PRON
was,be,AUX
already,already,ADV
a,a,DET
delightful,delightful,ADJ
companion,companion,NOUN
for,for,ADP
her,she,PRON
.,.,PUNCT
He,he,PRON
was,be,AUX
an,a,DET
auburn,auburn,ADJ
-haired,-haired,ADJ
boy,boy,NOUN
",",",",PUNCT
with,with,ADP
great,great,ADJ
",",",",PUNCT
handsome,handsome,ADJ
eyes,eyes,NOUN
which,which,PRON
he,he,PRON
would,would,AUX
grow,grow,VERB
up,up,ADV
to,to,ADP
in,in,ADP
time,time,NOUN
",",",",PUNCT
a,a,DET
facile,facile,ADJ
imaginative,imaginative,ADJ
mind,mind,NOUN
and,and,CCONJ
a,a,DET
taste,taste,NOUN
for,for,ADP
fancy,fancy,ADJ
dress,dress,NOUN
.,.,PUNCT
From,from,ADP
his,he,PRON
fourth,fourth,ADJ
to,to,ADP
his,he,PRON
tenth,tenth,NOUN
year,year,NOUN
he,he,PRON
did,do,VERB
the,the,DET
country,country,NOUN
with,with,ADP
his,he,PRON
mother,mother,NOUN
in,in,ADP
her,she,PRON
father,father,NOUN
's,'s,PART
private,private,ADJ
car,car,NOUN
",",",",PUNCT
from,from,ADP
Coronado,Coronado,PROPN
",",",",PUNCT
where,where,ADV
his,he,PRON
mother,mother,NOUN
became,become,VERB
so,so,ADV
bored,bore,VERB
that,that,SCONJ
she,she,PRON
had,have,VERB
a,a,DET
nervous,nervous,ADJ
breakdown,breakdown,NOUN
in,in,ADP
a,a,DET
fashionable,fashionable,ADJ
hotel,hotel,NOUN
",",",",PUNCT
down,down,ADV
to,to,ADP
Mexico,Mexico,PROPN
City,city,PROPN
",",",",PUNCT
where,where,ADV
she,she,PRON
took,take,VERB
a,a,DET
mild,mild,ADJ
",",",",PUNCT
almost,almost,ADV
epidemic,epidemic,ADJ
consumption,consumption,NOUN
.,.,PUNCT
This,this,DET
trouble,trouble,ADJ
pleased,please,ADJ
her,she,PRON
",",",",PUNCT
and,and,CCONJ
later,later,ADV
she,she,PRON
made,make,VERB
use,use,NOUN
of,of,ADP
it,it,PRON
as,as,ADP
an,a,DET
intrinsic,intrinsic,ADJ
part,part,NOUN
of,of,ADP
her,she,PRON
atmosphere,atmosphere,NOUN
--,--,PUNCT
especially,especially,ADV
after,after,ADP
several,several,ADJ
astounding,astounding,ADJ
bracers,bracer,NOUN
.,.,PUNCT
So,so,ADV
",",",",PUNCT
while,while,SCONJ
more,more,ADJ
or,or,CCONJ
less,less,ADJ
fortunate,fortunate,ADJ
little,little,ADJ
rich,rich,ADJ
boys,boy,NOUN
were,be,AUX
defying,defy,VERB
governesses,governess,NOUN
on,on,ADP
the,the,DET
beach,beach,NOUN
at,at,ADP
Newport,Newport,PROPN
",",",",PUNCT
or,or,CCONJ
being,be,AUX
spanked,spank,VERB
or,or,CCONJ
tutored,tutor,VERB
or,or,CCONJ
read,read,VERB
to,to,ADP
from,from,ADP
"""","""",PUNCT
Do,do,PROPN
and,and,CCONJ
Dare,dare,PROPN
",",",",PUNCT
"""","""",PUNCT
or,or,CCONJ
"""","""",PUNCT
Frank,Frank,PROPN
on,on,ADP
the,the,DET
Mississippi,Mississippi,PROPN
",",",",PUNCT
"""","""",PUNCT
Amory,Amory,PROPN
was,be,AUX
biting,bit,VERB
acquiescent,acquiescent,ADJ
bell,bell,NOUN
-,-,PUNCT
boys,boy,NOUN
in,in,ADP
the,the,DET
Waldorf,Waldorf,PROPN
",",",",PUNCT
outgrowing,outgrow,VERB
a,a,DET
natural,natural,ADJ
repugnance,repugnance,NOUN
to,to,PART
chamber,chamber,VERB
music,music,NOUN
and,and,CCONJ
symphonies,symphony,NOUN
",",",",PUNCT
and,and,CCONJ
deriving,derive,VERB
a,a,DET
highly,highly,ADV
specialized,specialized,VERB
education,education,NOUN
from,from,ADP
his,he,PRON
mother,mother,NOUN
.,.,PUNCT
"""","""",PUNCT
Amory,Amory,PROPN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Yes,yes,INTJ
",",",",PUNCT
Beatrice,Beatrice,PROPN
.,.,PUNCT
"""","""",PUNCT
(,(,PUNCT
Such,such,DET
a,a,DET
quaint,quaint,NOUN
name,name,NOUN
for,for,ADP
his,he,PRON
mother,mother,NOUN
;,;,PUNCT
she,she,PRON
encouraged,encourage,VERB
it,it,PRON
.,.,PUNCT
),),PUNCT
"""","""",PUNCT
Dear,dear,ADJ
",",",",PUNCT
do,do,AUX
n't,not,PART
_think_,_think_,SYM
of,of,SCONJ
getting,get,VERB
out,out,ADP
of,of,ADP
bed,bed,NOUN
yet,yet,ADV
.,.,PUNCT
I,I,PRON
've,have,AUX
always,always,ADV
suspected,suspect,VERB
that,that,SCONJ
early,early,ADV
rising,rise,VERB
in,in,ADP
early,early,ADJ
life,life,NOUN
makes,make,VERB
one,one,NUM
nervous,nervous,ADJ
.,.,PUNCT
Clothilde,Clothilde,PROPN
is,be,AUX
having,have,VERB
your,you,PRON
breakfast,breakfast,NOUN
brought,brotch,VERB
up,up,ADV
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
All,all,DET
right,right,ADJ
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
I,I,PRON
am,be,AUX
feeling,feel,VERB
very,very,ADV
old,old,ADJ
to,to,ADP
-,-,PUNCT
day,day,NOUN
",",",",PUNCT
Amory,Amory,NOUN
",",",",PUNCT
"""","""",PUNCT
she,she,PRON
would,would,AUX
sigh,sigh,INTJ
",",",",PUNCT
her,she,PRON
face,face,VERB
a,a,DET
rare,rare,ADJ
cameo,cameo,NOUN
of,of,ADP
pathos,patho,NOUN
",",",",PUNCT
her,she,PRON
voice,voice,NOUN
exquisitely,exquisitely,ADV
modulated,modulate,VERB
",",",",PUNCT
her,she,PRON
hands,hand,NOUN
as,as,ADP
facile,facile,NOUN
as,as,ADP
Bernhardt,Bernhardt,PROPN
's,'s,PART
.,.,PUNCT
"""","""",PUNCT
My,my,PRON
nerves,nerf,NOUN
are,be,AUX
on,on,ADP
edge,edge,NOUN
--,--,PUNCT
on,on,ADP
edge,edge,NOUN
.,.,PUNCT
We,we,PRON
must,must,AUX
leave,leave,VERB
this,this,PRON
terrifying,terrifie,VERB
place,place,NOUN
to,to,ADP
-,-,PUNCT
morrow,morrow,NOUN
and,and,CCONJ
go,go,VERB
searching,search,VERB
for,for,ADP
sunshine,sunshine,NOUN
.,.,PUNCT
"""","""",PUNCT
Amory,Amory,PROPN
's,'s,AUX
penetrating,penetrate,VERB
green,green,ADJ
eyes,eye,NOUN
would,would,AUX
look,look,VERB
out,out,ADP
through,through,ADP
tangled,tangled,VERB
hair,hair,NOUN
at,at,ADP
his,he,PRON
mother,mother,NOUN
.,.,PUNCT
Even,even,ADV
at,at,ADP
this,this,DET
age,age,NOUN
he,he,PRON
had,have,VERB
no,no,DET
illusions,illusion,NOUN
about,about,ADP
her,she,PRON
.,.,PUNCT
"""","""",PUNCT
Amory,Amory,PROPN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Oh,oh,INTJ
",",",",PUNCT
_,NA,SYM
yes,yes,INTJ
_.,_.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
I,I,PRON
want,want,VERB
you,you,PRON
to,to,PART
take,take,VERB
a,a,DET
red,red,ADV
-,-,PUNCT
hot,hot,ADJ
bath,bath,NOUN
as,as,ADV
hot,hot,ADJ
as,as,SCONJ
you,you,PRON
can,can,AUX
bear,bear,VERB
it,it,PRON
",",",",PUNCT
and,and,CCONJ
just,just,ADV
relax,relax,VERB
your,you,PRON
nerves,nerve,NOUN
.,.,PUNCT
You,you,PRON
can,can,AUX
read,read,VERB
in,in,ADP
the,the,DET
tub,tub,NOUN
if,if,SCONJ
you,you,PRON
wish,wish,VERB
.,.,PUNCT
"""","""",PUNCT
She,she,PRON
fed,feed,VERB
him,he,PRON
sections,section,NOUN
of,of,ADP
the,the,DET
"""","""",PUNCT
Fetes,Fetes,PROPN
Galantes,Galantes,PROPN
"""","""",PUNCT
before,before,SCONJ
he,he,PRON
was,be,AUX
ten,ten,VERB
;,;,PUNCT
at,at,ADP
eleven,eleven,ADV
he,he,PRON
could,could,AUX
talk,talk,VERB
glibly,glibly,ADV
",",",",PUNCT
if,if,SCONJ
rather,rather,ADV
reminiscently,reminiscently,ADV
",",",",PUNCT
of,of,ADP
Brahms,Brahms,NOUN
and,and,CCONJ
Mozart,Mozart,PROPN
and,and,CCONJ
Beethoven,Beethoven,PROPN
.,.,PUNCT
One,one,NUM
afternoon,afternoon,NOUN
",",",",PUNCT
when,when,ADV
left,leave,VERB
alone,alone,ADV
in,in,ADP
the,the,DET
hotel,hotel,NOUN
at,at,ADP
Hot,hot,ADJ
Springs,spring,NOUN
",",",",PUNCT
he,he,PRON
sampled,sampl,VERB
his,he,PRON
mother,mother,NOUN
's,'s,PART
apricot,apricot,NOUN
cordial,cordial,NOUN
",",",",PUNCT
and,and,CCONJ
as,as,ADP
the,the,DET
taste,taste,NOUN
pleased,please,VERB
him,he,PRON
",",",",PUNCT
he,he,PRON
became,become,VERB
quite,quite,DET
tipsy,tipsy,NOUN
.,.,PUNCT
This,this,PRON
was,be,AUX
fun,fun,ADJ
for,for,ADP
a,a,DET
while,while,NOUN
",",",",PUNCT
but,but,CCONJ
he,he,PRON
essayed,essay,VERB
a,a,DET
cigarette,cigarette,NOUN
in,in,ADP
his,he,PRON
exaltation,exaltation,NOUN
",",",",PUNCT
and,and,CCONJ
succumbed,succumb,VERB
to,to,ADP
a,a,DET
vulgar,vulgar,NOUN
",",",",PUNCT
plebeian,plebeian,ADJ
reaction,reaction,NOUN
.,.,PUNCT
Though,though,SCONJ
this,this,DET
incident,incident,NOUN
horrified,horrify,VERB
Beatrice,Beatrice,PROPN
",",",",PUNCT
it,it,PRON
also,also,ADV
secretly,secretly,ADV
amused,amuse,VERB
her,she,PRON
and,and,CCONJ
became,become,VERB
part,part,NOUN
of,of,ADP
what,what,PRON
in,in,ADP
a,a,DET
later,later,ADJ
generation,generation,NOUN
would,would,AUX
have,have,AUX
been,be,AUX
termed,term,VERB
her,she,PRON
"""","""",PUNCT
line,line,NOUN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
This,this,DET
son,son,NOUN
of,of,ADP
mine,mine,PRON
",",",",PUNCT
"""","""",PUNCT
he,he,PRON
heard,hear,VERB
her,she,PRON
tell,tell,VERB
a,a,DET
room,room,NOUN
full,full,ADJ
of,of,ADP
awestruck,awestruck,NOUN
",",",",PUNCT
admiring,admir,VERB
women,woman,NOUN
one,one,NUM
day,day,NOUN
",",",",PUNCT
"""","""",PUNCT
is,be,AUX
entirely,entirely,ADV
sophisticated,sophisticated,VERB
and,and,CCONJ
quite,quite,DET
charming,charming,NOUN
--,--,PUNCT
but,but,CCONJ
delicate,delicate,ADJ
--,--,PUNCT
we,we,PRON
're,be,AUX
all,all,ADV
delicate,delicate,ADJ
;,;,PUNCT
_here_,_here_,SYM
",",",",PUNCT
you,you,PRON
know,know,VERB
.,.,PUNCT
"""","""",PUNCT
Her,she,PRON
hand,hand,NOUN
was,be,AUX
radiantly,radiantly,ADV
outlined,outline,VERB
against,against,ADP
her,she,PRON
beautiful,beautiful,ADJ
bosom,bosom,NOUN
;,;,PUNCT
then,then,ADV
sinking,sink,VERB
her,she,PRON
voice,voice,NOUN
to,to,ADP
a,a,DET
whisper,whisper,ADV
",",",",PUNCT
she,she,PRON
told,tell,VERB
them,they,PRON
of,of,ADP
the,the,DET
apricot,apricot,ADJ
cordial,cordial,NOUN
.,.,PUNCT
They,they,PRON
rejoiced,rejoice,VERB
",",",",PUNCT
for,for,ADP
she,she,PRON
was,be,AUX
a,a,DET
brave,brave,ADJ
raconteuse,raconteuse,NOUN
",",",",PUNCT
but,but,CCONJ
many,many,ADJ
were,be,AUX
the,the,DET
keys,key,NOUN
turned,turn,VERB
in,in,ADP
sideboard,sideboard,ADJ
locks,lock,NOUN
that,that,DET
night,night,NOUN
against,against,ADP
the,the,DET
possible,possible,ADJ
defection,defection,NOUN
of,of,ADP
little,little,ADJ
Bobby,Bobby,PROPN
or,or,CCONJ
Barbara,Barbara,PROPN
....,....,PUNCT
These,these,DET
domestic,domestic,ADJ
pilgrimages,pilgrimage,NOUN
were,be,AUX
invariably,invariably,ADV
in,in,ADP
state,state,NOUN
;,;,PUNCT
two,two,NUM
maids,maid,NOUN
",",",",PUNCT
the,the,DET
private,private,ADJ
car,car,NOUN
",",",",PUNCT
or,or,CCONJ
Mr.,Mr.,PROPN
Blaine,Blaine,PROPN
when,when,ADV
available,available,ADJ
",",",",PUNCT
and,and,CCONJ
very,very,ADV
often,often,ADV
a,a,DET
physician,physician,NOUN
.,.,PUNCT
When,when,ADV
Amory,Amory,PROPN
had,have,VERB
the,the,DET
whooping,whooping,NOUN
-,-,PUNCT
cough,cough,NOUN
four,four,NUM
disgusted,disgusted,ADJ
specialists,specialist,NOUN
glared,glar,VERB
at,at,ADP
each,each,DET
other,other,ADJ
hunched,hunch,VERB
around,around,ADP
his,he,PRON
bed,be,NOUN
;,;,PUNCT
when,when,ADV
he,he,PRON
took,take,VERB
scarlet,scarlet,NOUN
fever,fever,NOUN
the,the,DET
number,number,NOUN
of,of,ADP
attendants,attendants,NOUN
",",",",PUNCT
including,include,VERB
physicians,physician,NOUN
and,and,CCONJ
nurses,nurse,NOUN
",",",",PUNCT
totalled,total,VERB
fourteen,fourteen,NOUN
.,.,PUNCT
However,however,ADV
",",",",PUNCT
blood,blood,NOUN
being,be,AUX
thicker,thicker,ADJ
than,than,ADP
broth,broth,NOUN
",",",",PUNCT
he,he,PRON
was,be,AUX
pulled,pull,VERB
through,through,ADV
.,.,PUNCT
The,the,DET
Blaines,Blaine,NOUN
were,be,AUX
attached,attach,VERB
to,to,ADP
no,no,DET
city,city,NOUN
.,.,PUNCT
They,they,PRON
were,be,AUX
the,the,DET
Blaines,Blaines,PROPN
of,of,ADP
Lake,Lake,PROPN
Geneva,Geneva,PROPN
;,;,PUNCT
they,they,PRON
had,have,VERB
quite,quite,DET
enough,enough,ADJ
relatives,relative,NOUN
to,to,PART
serve,serve,VERB
in,in,ADP
place,place,NOUN
of,of,ADP
friends,friend,NOUN
",",",",PUNCT
and,and,CCONJ
an,a,DET
enviable,enviable,ADJ
standing,standing,NOUN
from,from,ADP
Pasadena,Pasadena,PROPN
to,to,ADP
Cape,Cape,PROPN
Cod,cod,PROPN
.,.,PUNCT
But,but,CCONJ
Beatrice,Beatrice,PROPN
grew,grew,VERB
more,more,ADJ
and,and,CCONJ
more,more,ADV
prone,prone,ADJ
to,to,PART
like,like,VERB
only,only,ADV
new,new,ADJ
acquaintances,acquaintance,NOUN
",",",",PUNCT
as,as,SCONJ
there,there,PRON
were,be,VERB
certain,certain,ADJ
stories,story,NOUN
",",",",PUNCT
such,such,ADJ
as,as,ADP
the,the,DET
history,history,NOUN
of,of,ADP
her,she,PRON
constitution,constitution,NOUN
and,and,CCONJ
its,its,PRON
many,many,ADJ
amendments,amendment,NOUN
",",",",PUNCT
memories,memory,NOUN
of,of,ADP
her,she,PRON
years,year,NOUN
abroad,abroad,ADV
",",",",PUNCT
that,that,SCONJ
it,it,PRON
was,be,AUX
necessary,necessary,ADJ
for,for,ADP
her,she,PRON
to,to,PART
repeat,repeat,VERB
at,at,ADP
regular,regular,ADJ
intervals,interval,NOUN
.,.,PUNCT
Like,like,ADP
Freudian,Freudian,ADJ
dreams,dream,NOUN
",",",",PUNCT
they,they,PRON
must,must,AUX
be,be,AUX
thrown,throw,VERB
off,off,ADP
",",",",PUNCT
else,else,ADV
they,they,PRON
would,would,AUX
sweep,sweep,VERB
in,in,ADV
and,and,CCONJ
lay,lay,VERB
siege,siege,NOUN
to,to,ADP
her,she,PRON
nerves,nerve,NOUN
.,.,PUNCT
But,but,CCONJ
Beatrice,Beatrice,NOUN
